feature,coefficient,abs_coefficient,coefficient_source,coefficient_training_rows,prediction_estimator
home_ownership_NONE,-0.006312031359070309,0.006312031359070309,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
pub_rec_bankruptcies,-0.005829769255928937,0.005829769255928937,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
purpose_vacation,0.005371622427797997,0.005371622427797997,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_VA,-0.005248096981833089,0.005248096981833089,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
purpose_house,-0.004969365074223243,0.004969365074223243,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_ND,0.003929443566966789,0.003929443566966789,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_IA,0.003683316187542751,0.003683316187542751,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
bc_util,-0.0029998098570425407,0.0029998098570425407,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
emp_length_num,-0.0023239594437141874,0.0023239594437141874,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
bc_open_to_buy,0.001940142523001129,0.001940142523001129,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
credit_history_months,0.0016044683914208445,0.0016044683914208445,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
addr_state_DE,-0.0004524662740228321,0.0004524662740228321,full_training_fitted_prediction_model,318136,statsmodels_regularized_probit_full_training
